22 22 18 16 12 11 11 9 7 7 6 6 6 7 7 7 9 9 9 11 13 15 16 16 
25 25 21 18 16 14 14 12 9 9 6 6 6 6 6 6 7 7 7 8 9 11 12 16 
22 22 18 15 13 10 10 9 8 7 6 4 4 5 5 6 6 6 7 9 10 12 16 16 
24 24 21 19 17 15 15 14 12 11 10 9 9 7 7 7 6 6 7 7 8 9 10 10 
25 25 19 15 13 11 10 10 9 8 7 6 6 6 6 5 5 6 6 7 8 9 11 13 
25 25 22 19 17 15 15 13 12 11 10 10 9 7 7 6 6 6 6 7 7 8 9 9 
25 25 20 18 15 13 13 10 9 7 6 5 5 5 5 5 5 6 6 6 7 8 9 9 
25 25 22 19 16 15 15 13 11 10 9 7 7 7 6 6 6 6 6 7 7 8 9 9 
25 25 21 14 13 11 11 9 8 7 7 7 7 6 6 6 7 7 7 10 11 13 15 15 
23 23 21 18 16 15 15 14 13 12 11 11 11 10 9 8 9 9 9 11 13 15 16 16 
23 23 19 15 13 10 10 8 7 5 5 4 4 4 4 5 5 6 6 7 8 11 15 15 
24 24 20 17 15 12 12 10 9 7 7 6 6 6 6 6 6 6 8 9 10 13 16 16 
25 25 22 20 18 16 16 14 12 11 10 10 10 9 8 8 7 7 8 9 10 11 13 13 
23 23 19 17 15 12 12 11 9 8 7 7 7 7 7 7 7 8 8 10 12 15 16 16 
22 22 19 16 13 11 11 9 7 6 5 5 5 5 5 5 6 6 6 7 9 10 13 13 
20 20 15 12 10 9 9 7 6 5 5 5 5 5 6 6 8 8 9 10 12 14 16 16 
23 23 19 17 14 11 11 10 8 7 6 6 6 6 6 6 6 8 8 9 10 13 16 16 
25 25 22 19 17 15 15 13 12 10 9 8 8 7 6 6 6 6 7 7 8 10 11 11 
25 25 21 19 16 14 14 13 11 9 8 7 7 7 6 6 7 7 7 8 9 10 12 12 
23 23 20 17 15 13 13 11 9 8 6 6 5 5 5 5 6 6 6 7 8 10 12 12 
25 25 21 19 17 16 16 14 14 13 10 10 10 8 8 7 7 7 8 8 9 10 11 11 
24 24 21 19 16 14 14 12 11 10 9 9 6 6 6 5 5 5 5 6 7 7 8 8 
24 24 21 18 15 11 11 10 8 7 6 6 6 6 5 5 6 6 6 7 8 9 11 11 
23 23 20 18 16 14 14 13 12 11 10 10 9 8 7 8 8 8 8 9 9 10 11 11 
25 25 21 18 15 13 13 11 10 8 7 5 5 4 4 4 5 5 6 7 7 7 9 9 
23 23 20 17 15 12 12 10 9 7 6 6 6 6 5 6 6 6 7 9 9 12 15 15 
23 23 19 16 14 12 12 10 9 7 5 5 5 4 5 5 6 6 6 8 10 11 13 13 
25 25 22 19 16 15 15 12 10 9 8 7 7 6 6 6 7 7 7 8 10 11 15 15 
25 25 20 17 14 12 12 10 8 6 5 4 4 4 4 4 5 5 6 6 8 10 13 13 
25 25 22 19 16 14 14 12 11 9 8 8 8 7 8 7 7 7 7 9 10 12 16 16 
22 22 18 16 14 12 12 11 9 8 6 6 6 5 6 6 7 7 8 9 9 10 14 14 
23 23 19 16 14 12 12 9 8 6 5 5 5 5 5 5 6 6 6 7 9 10 14 14 
22 22 19 16 14 12 12 10 8 7 6 5 5 5 5 6 6 6 7 8 10 11 16 16 
22 22 19 17 14 13 13 11 9 9 6 6 6 6 6 7 7 7 8 9 11 12 15 15 
22 22 20 16 14 12 12 9 8 7 6 6 6 4 5 5 6 6 6 8 9 11 13 13 
24 24 21 19 17 15 15 13 11 10 9 9 7 7 6 6 7 7 7 8 9 11 12 12 
24 24 20 18 15 13 13 12 10 9 6 5 5 5 5 6 7 7 7 8 9 11 12 12 
21 21 17 14 11 9 9 8 6 5 4 4 4 3 4 4 5 5 5 7 8 11 15 15 
23 23 20 18 16 14 14 12 10 9 8 6 6 6 7 6 7 7 7 8 10 11 12 12 
25 25 22 20 18 16 16 15 13 12 11 10 10 9 7 7 7 7 6 7 8 8 10 10 
25 25 21 18 14 12 12 11 9 7 6 7 7 5 5 6 5 5 6 6 8 8 11 11 
23 23 21 18 16 15 13 13 12 11 10 10 10 9 8 7 8 8 8 9 9 10 11 11 
23 23 20 17 15 13 13 10 9 7 6 6 6 6 5 6 6 6 7 7 9 10 11 11 
23 23 20 18 16 14 14 12 10 10 9 7 7 7 7 7 8 8 8 9 10 13 13 13 
25 25 23 21 19 18 18 16 15 14 13 12 12 11 11 10 10 10 10 10 11 13 14 14 
25 25 22 18 15 13 13 12 9 7 7 7 6 6 6 6 7 7 7 8 7 10 12 12 
24 24 21 17 15 13 13 10 9 7 5 5 5 5 5 5 6 6 6 7 9 10 11 11 
24 24 21 18 16 14 11 11 10 8 7 7 7 7 7 8 9 9 10 12 14 14 16 16 
25 25 22 19 17 15 15 13 12 10 9 9 8 7 7 6 7 7 7 8 9 11 11 12 
21 21 18 16 14 12 12 11 9 7 6 6 6 5 5 6 7 7 7 9 10 13 16 16 
23 23 20 17 15 13 13 11 10 8 6 5 5 5 4 5 5 5 6 6 7 8 10 10 
22 22 19 17 15 13 13 11 9 9 7 7 7 6 6 5 5 5 6 6 7 8 10 10 
25 25 22 18 16 14 14 10 10 9 7 6 6 6 6 6 6 6 7 6 6 8 9 9 
22 22 19 16 14 12 12 10 8 7 6 6 5 5 5 5 6 6 6 6 7 8 8 10 
22 22 20 17 15 13 13 12 9 9 7 7 6 6 6 6 6 6 7 7 8 10 11 11 
24 24 21 18 15 13 13 12 9 8 7 6 6 6 6 6 6 6 7 7 8 10 10 11 
24 24 21 18 15 13 13 11 10 9 7 7 6 6 6 6 7 7 8 9 11 12 12 14 
23 23 20 18 16 14 14 13 11 10 10 9 9 7 7 7 7 7 8 9 9 11 12 12 
22 22 19 16 12 11 11 10 8 7 6 6 6 6 6 6 6 8 8 9 11 15 16 16 
22 22 19 16 14 12 12 11 10 9 7 7 7 6 7 7 8 8 8 7 10 13 16 16 
21 21 16 14 12 10 10 9 7 6 6 6 6 6 6 8 8 8 11 12 14 16 100 100 
25 25 22 19 18 16 16 14 13 12 13 12 12 12 12 12 12 12 13 16 17 19 20 20 
25 25 22 20 17 16 16 15 14 13 13 13 13 12 12 13 13 13 14 14 15 17 19 19 
22 22 20 18 16 15 15 14 13 13 12 12 12 12 12 13 13 13 14 15 17 18 20 20 
24 24 21 18 16 14 14 13 12 11 11 10 10 10 10 11 11 12 12 13 14 16 18 18 
25 25 22 20 19 17 17 16 16 15 15 15 15 14 14 15 15 15 15 16 17 18 18 20 
25 25 23 21 19 17 17 16 14 13 12 12 11 11 13 13 13 14 14 15 16 18 20 20 
23 23 19 17 15 13 13 12 11 11 11 10 10 10 11 11 11 11 12 13 15 17 20 20 
25 25 22 20 18 16 16 15 14 13 12 13 13 13 12 14 15 15 15 16 17 18 20 20 
24 24 21 19 17 14 14 14 12 12 13 13 14 14 13 11 13 13 14 15 15 19 22 22 
22 22 20 17 16 14 14 13 12 12 12 12 12 12 12 12 13 13 14 15 17 19 22 22 
23 23 20 18 16 15 14 14 13 12 12 11 11 11 11 12 12 13 13 14 15 17 20 23 
24 24 21 18 18 16 16 15 14 13 13 12 12 12 12 12 12 12 13 14 15 18 19 19 
24 24 21 19 17 16 16 14 13 12 12 12 12 12 11 12 12 12 12 13 15 17 19 19 
25 25 22 20 19 17 17 16 15 14 14 14 14 13 13 13 13 13 13 14 14 15 17 19 
24 24 22 20 18 17 17 16 15 14 13 13 13 13 13 12 13 13 13 14 14 16 17 17 
24 24 21 19 17 16 16 14 14 13 13 12 12 12 12 12 12 12 12 13 13 15 16 16 
23 23 20 18 16 15 15 14 14 13 13 13 13 13 12 12 12 12 12 13 14 15 17 17 
24 24 21 19 17 15 15 14 13 12 12 12 12 11 11 12 12 12 12 12 13 14 15 15 
24 24 21 19 17 16 16 15 14 13 13 13 13 12 12 12 13 13 13 14 14 15 17 17 
23 23 20 17 16 15 15 14 13 12 12 12 12 12 12 12 12 13 13 14 15 17 19 19 
23 23 21 19 18 17 17 16 15 15 14 14 14 14 14 14 15 15 15 16 17 19 21 21 
25 25 22 19 17 15 14 14 13 12 12 11 11 11 11 11 11 12 12 13 14 15 17 17 
23 23 21 18 16 15 14 14 13 13 12 12 12 12 12 13 13 14 14 15 16 18 21 21 
23 23 22 19 18 16 16 16 13 13 12 12 12 12 12 12 12 12 13 14 17 19 20 20 
